"","year","sex","age","pop"
"1",2010,"male",0,16737.372104347
"2",2010,"male",1,70048.7408054853
"3",2010,"male",5,92496.4275566905
"4",2010,"male",10,93532.1958929531
"5",2010,"male",15,97248.4803414285
"6",2010,"male",20,91611.6458583672
"7",2010,"male",25,78958.9655990671
"8",2010,"male",30,73610.0123056765
"9",2010,"male",35,70458.4178830935
"10",2010,"male",40,56635.0878909719
"11",2010,"male",45,48847.197106071
"12",2010,"male",50,42089.0351919151
"13",2010,"male",55,35586.5439846694
"14",2010,"male",60,29842.0056998782
"15",2010,"male",65,21410.9118373565
"16",2010,"male",70,17448.0158802472
"17",2010,"male",75,12150.3980437558
"18",2010,"male",80,7540.27269868072
"19",2010,"male",85,7081.27331934573
"20",2020,"male",0,16004.6116834141
"21",2020,"male",1,73479.1775729258
"22",2020,"male",5,94058.3956875674
"23",2020,"male",10,95992.611807274
"24",2020,"male",15,99582.5810320428
"25",2020,"male",20,100251.693599606
"26",2020,"male",25,94683.4349722369
"27",2020,"male",30,89351.5694076598
"28",2020,"male",35,85018.3643668256
"29",2020,"male",40,77888.5091933031
"30",2020,"male",45,70363.997804781
"31",2020,"male",50,57982.4103083057
"32",2020,"male",55,48907.3206943533
"33",2020,"male",60,40951.0914665802
"34",2020,"male",65,34327.0773808112
"35",2020,"male",70,25420.2675742698
"36",2020,"male",75,17191.5853249741
"37",2020,"male",80,10536.5196080757
"38",2020,"male",85,8287.78051499364
"39",2010,"female",0,16130.4650399973
"40",2010,"female",1,68917.7842487532
"41",2010,"female",5,90268.4091441577
"42",2010,"female",10,90256.3324296281
"43",2010,"female",15,96023.9700103759
"44",2010,"female",20,92899.1201258493
"45",2010,"female",25,82435.6533788533
"46",2010,"female",30,78811.6326271045
"47",2010,"female",35,75687.7891354554
"48",2010,"female",40,60820.3471566757
"49",2010,"female",45,53010.738427553
"50",2010,"female",50,46398.7372226127
"51",2010,"female",55,38308.3448806774
"52",2010,"female",60,32129.0926130468
"53",2010,"female",65,22966.8918566121
"54",2010,"female",70,18562.9166248285
"55",2010,"female",75,12566.8278608963
"56",2010,"female",80,8188.0124510493
"57",2010,"female",85,7860.93476587341
"58",2020,"female",0,15625.4110676263
"59",2020,"female",1,71166.7360106355
"60",2020,"female",5,92370.2185036214
"61",2020,"female",10,93455.9842470385
"62",2020,"female",15,97103.9167539804
"63",2020,"female",20,99601.9792669715
"64",2020,"female",25,96606.1071834285
"65",2020,"female",30,93984.8443139427
"66",2020,"female",35,89367.3350176763
"67",2020,"female",40,83607.9687587756
"68",2020,"female",45,75909.4489212259
"69",2020,"female",50,64577.0193815385
"70",2020,"female",55,54445.5429104462
"71",2020,"female",60,45964.7508906006
"72",2020,"female",65,38109.9769423746
"73",2020,"female",70,27891.3587557129
"74",2020,"female",75,18479.0518452972
"75",2020,"female",80,11976.4769317697
"76",2020,"female",85,10374.872297338
