"year","sex","age","deaths"
2010,"male",0,452.663952649322
2010,"male",1,79.5408768131845
2010,"male",5,50.1379956128333
2010,"male",10,47.456526282208
2010,"male",15,139.04557105034
2010,"male",20,241.300896761055
2010,"male",25,226.61354116737
2010,"male",30,292.774880219106
2010,"male",35,360.940914467784
2010,"male",40,421.772786767493
2010,"male",45,498.643295309122
2010,"male",50,583.511110793272
2010,"male",55,683.123181437948
2010,"male",60,836.812905727904
2010,"male",65,919.030026977575
2010,"male",70,1062.71722217392
2010,"male",75,1296.01360962867
2010,"male",80,1350.19205195156
2010,"male",85,2285.17998240993
2019,"male",0,374.294162220141
2019,"male",1,68.0434315257339
2019,"male",5,36.0191795552895
2019,"male",10,47.0301293879558
2019,"male",15,132.073143787874
2019,"male",20,240.148534548554
2019,"male",25,301.19285633734
2019,"male",30,364.235581502487
2019,"male",35,478.30148447256
2019,"male",40,548.33016519953
2019,"male",45,671.429285472532
2019,"male",50,786.474658868099
2019,"male",55,1001.60838660647
2019,"male",60,1128.67988444981
2019,"male",65,1316.83234785551
2019,"male",70,1530.96405515389
2019,"male",75,1500.93538780799
2019,"male",80,1529.96297429783
2019,"male",85,2432.52261035899
2021,"male",0,304.237424939273
2021,"male",1,86.0160926784798
2021,"male",5,30.0056137250511
2021,"male",10,50.0093562084185
2021,"male",15,138.025823135235
2021,"male",20,306.057259995521
2021,"male",25,428.080089144062
2021,"male",30,494.092439339175
2021,"male",35,680.127244434492
2021,"male",40,832.155687308084
2021,"male",45,1172.21930952533
2021,"male",50,1228.22978847876
2021,"male",55,1516.28368023925
2021,"male",60,1790.33495226138
2021,"male",65,2090.39108951189
2021,"male",70,2450.45845421251
2021,"male",75,2322.43450231895
2021,"male",80,2252.42140362717
2021,"male",85,3208.60029433213
2010,"female",0,370.402021067234
2010,"female",1,78.7750539372853
2010,"female",5,43.3995156724184
2010,"female",10,44.0601338793001
2010,"female",15,68.103109461615
2010,"female",20,69.4404204768269
2010,"female",25,94.1365894410282
2010,"female",30,116.834235338851
2010,"female",35,146.879128691102
2010,"female",40,182.259047561383
2010,"female",45,266.388505733174
2010,"female",50,387.88333843306
2010,"female",55,510.725468428541
2010,"female",60,692.993425779918
2010,"female",65,797.162799015495
2010,"female",70,1019.46967643501
2010,"female",75,1142.30931902849
2010,"female",80,1249.7747300395
2010,"female",85,2452.19882004584
2019,"female",0,319.950791961552
2019,"female",1,63.0052219652195
2019,"female",5,29.0015160544186
2019,"female",10,44.0042112622738
2019,"female",15,74.006738019638
2019,"female",20,98.0089278760205
2019,"female",25,101.00892787602
2019,"female",30,170.015665895659
2019,"female",35,185.01583434615
2019,"female",40,273.02307771726
2019,"female",45,400.032510944754
2019,"female",50,513.045818533539
2019,"female",55,667.058620770851
2019,"female",60,950.079508631729
2019,"female",65,1134.09416382444
2019,"female",70,1318.10157564605
2019,"female",75,1411.12010520005
2019,"female",80,1568.12431646232
2019,"female",85,2692.22420760345
2021,"female",0,253.850046131774
2021,"female",1,68.0081849709576
2021,"female",5,18.0021666099594
2021,"female",10,46.0055368921184
2021,"female",15,78.0093886431573
2021,"female",20,110.013240394196
2021,"female",25,146.017573614115
2021,"female",30,212.025517850633
2021,"female",35,312.037554572629
2021,"female",40,392.047183950226
2021,"female",45,670.080646037376
2021,"female",50,762.091719821613
2021,"female",55,1066.12831145648
2021,"female",60,1448.17429173451
2021,"female",65,1706.20534647726
2021,"female",70,2010.24193811213
2021,"female",75,1918.23086432789
2021,"female",80,1970.23712342333
2021,"female",85,3430.41285956448
